검색게시글,유포게시물,유포사이트,게시자id,URL,탐지시간,고유번호,분류,용량
-,[ 기생충 ] 1080p Bluray 고화질 - 봉준호 감독 - 송강호 조여정 이선균,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29206357,2020-03-26 15:51:56,c29206357,한국영화,12G
-,[FHD] 기생충.2019.1080p.아카데미_작품상_각본상_국제장편영화상_감독상 4관왕!,위디스크,bbongs1,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29158792,2020-03-26 15:51:56,c29158792,일반,5.0G
-,[FHD]기생충 - 영문자막 내장. Parasite.2019.1080p.10bit.BluRay.8CH.x265.HEVC-PSA,위디스크,liven,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29206145,2020-03-26 15:51:56,c29206145,일반,1.7G
-,[HD]기생충 - 행복은 나눌수록 커지잖아요..PARASITE.2019.720p.HDRip.H264.AAC-NonDRM,위디스크,liven,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28914378,2020-03-26 15:51:56,c28914378,일반,3.0G
-,오스카 시상식 수상작! [기생충] 1080p.FHDRip.H264.AAC,위디스크,만재정,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29163687,2020-03-26 15:51:56,c29163687,일반,5.0G
-,[720p] 기생충 2019 송강호 이선균 조여정 박소담 3,위디스크,방송원본,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29197336,2020-03-26 15:51:56,c29197336,한국영화,9.6G
-,[FHD] 기생충..행복은 나눌수록 커지잖아요.영자막 내장.Parasite.2019.1080p.HDRip.X264.AC3-EVO,위디스크,liven,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28405531,2020-03-26 15:51:56,c28405531,일반,2.8G
-,[ 기생충 2019 ] 송강호 PARASITE.2019.1080p.FHDRip.H264.AAC,위디스크,영화드라마방,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28364512,2020-03-26 15:51:56,c28364512,일반,5.0G
-,[720p] 기생충의 최우식 주연 거인 Set.Me.Free.2014.720p.HDRip.X264-CJCONTENTS 김수현 박주희 김태용 신재하 강신철,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28090444,2020-03-26 15:51:56,c28090444,한국영화,3.2G
-,[미리보기][한국영화] 기생충 (송강호 이선균 조여정 최우식 박소담 장혜진 이정은 박명훈 정지소),위디스크,나는업로더다,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29182570,2020-03-26 15:51:56,c29182570,일반,35G
-,[미리보기][한국영화] 기생충 (송강호 이선균 조여정 최우식 박소담 장혜진 이정은 박명훈 정지소),위디스크,나는업로더다,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29182343,2020-03-26 15:51:56,c29182343,일반,9.8G
-,[미리보기][한국영화] 기생충 (송강호 이선균 조여정 최우식 박소담 장혜진 이정은 박명훈 정지소),위디스크,나는업로더다,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29175010,2020-03-26 15:51:56,c29175010,일반,1.6G
-,(고화질)2020년 아카데미4개부문석권축하-송강호.조여정.이선균[ 기 생 충 ]1080P,위디스크,빈센트류,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29172224,2020-03-26 15:51:56,c29172224,일반,2.4G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균 ,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29161150,2020-03-26 15:51:56,c29161150,한국영화,3.0G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균 ,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29011525,2020-03-26 15:51:56,c29011525,한국영화,5.0G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균 ,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29011525,2020-03-26 15:51:56,c29011525,한국영화,5.0G
-,[2019봉준호감독작품] 기생충 (2019),위디스크,mosummer,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28805772,2020-03-26 15:51:56,c28805772,일반,15G
-,[720p] 기생충 2019 송강호 이선균 조여정 박소담 2,위디스크,방송원본,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29147604,2020-03-26 15:51:56,c29147604,한국영화,9.6G
-,[1080P] 기생충 (PARASITE 2019)-DVDRip,위디스크,콩이달려,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28938431,2020-03-26 15:51:56,c28938431,일반,12G
-,[720p] 기생충 2019 송강호 이선균 조여정 박소담,위디스크,방송원본,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29096131,2020-03-26 15:51:56,c29096131,한국영화,5.5G
-,[영화]기생충 Parasite 2019 [1080p],위디스크,srlim8853,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29085709,2020-03-26 15:51:56,c29085709,한국영화,2.8G
-,[FHD]기생충.대작.송강호.이선균.조여정.최우식.박소담 1080p HDRip H264,위디스크,tz8872,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29046389,2020-03-26 15:51:56,c29046389,한국영화,3.6G
-,FHD [ 기생충 ] - 송강호 이선균 - [1080p.고화질.mp4],위디스크,보증기간,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29021885,2020-03-26 15:51:56,c29021885,일반,5.0G
-,(2020년 아카데미상5개부분후보작)ㅊㅋㅊㅋ[: ㄱ ㅣ 생 충 :]1080P,위디스크,빈센트류,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29012788,2020-03-26 15:51:56,c29012788,일반,1.7G
-,[ 기생충 ] 2019 송강호 이선균 조여정 평점 8.5,위디스크,finalday2002,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28498124,2020-03-26 15:51:56,c28498124,일반,3.0G
-,[720P] 벌레들의 역습 [:: ㄱ ㅣ 생 충 - 더 소우 ::] (한글자막),위디스크,이어보기,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=27343828,2020-03-26 15:51:56,c27343828,공포,3.0G
-,2019년 황금종려상수상-송강호이선균조여정[:기.생.충 :]1080p..BluRay (2),위디스크,빈센트류,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28955098,2020-03-26 15:51:56,c28955098,일반,1.7G
-,기생충.PARASITE.2019.1080p.FHDRip.H264.AAC,위디스크,darktemplar,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28535159,2020-03-26 15:51:56,c28535159,일반,5.0G
-,[봉준호 감독/고화질]기생충 PARASITE2019 ,위디스크,ftloghey,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28877264,2020-03-26 15:51:56,c28877264,일반,2.4G
-,봉준호영화] 기생충 (송강호이선균조여정),위디스크,힐링방송,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28348381,2020-03-26 15:51:56,c28348381,일반,5.0G
-,2019년 영화제 싹쓸이!(조여정주연)-[: 조여정의 ㄱ ㅣ   생  충  : ]BluRay.1080p.,위디스크,빈센트류,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28819208,2020-03-26 15:51:56,c28819208,일반,1.7G
-,기생충 (2019) 봉준호 감독 송강호 주연 이선균 주연 영어자막,위디스크,chol7602,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28810087,2020-03-26 15:51:56,c28810087,일반,5.0G
-,백수가족과 글벌 기업 가족의 만남!  " 기생충 "[드라마]송강호.이선균.조여정.,위디스크,lmg19732001,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28808572,2020-03-26 15:51:56,c28808572,일반,2.3G
-,[1080P] 기생충 (PARASITE 2019)-DVDRip,위디스크,콩이달려,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28368448,2020-03-26 15:51:56,c28368448,일반,5.0G
-,기생충.2019.KORAEN.720p.BluRay.H264.AAC-VXT,위디스크,kis2393,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28801866,2020-03-26 15:51:56,c28801866,일반,1.6G
-,[--- 기생충 ---] 송강호 - 정품.초고화질 ,위디스크,kok5584,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28347675,2020-03-26 15:51:56,c28347675,일반,5.0G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28710205,2020-03-26 15:51:56,c28710205,일반,3.6G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28695961,2020-03-26 15:51:56,c28695961,일반,3.0G
-,봉준호 감독 [ 기생충 ] 송강호 조여정 이선균,위디스크,버팔로66,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28467170,2020-03-26 15:51:56,c28467170,일반,2.4G
